time_s,temp_c,time_min,rolling_avg,rate_of_change
203.86,39.81,3.398,39.604,0.047
205.14,39.81,3.419,39.626,0.0
206.43,39.81,3.44,39.648,0.0
207.71,39.88,3.462,39.67,0.055
208.99,39.88,3.483,39.692,0.0
210.28,39.88,3.505,39.71,0.0
211.56,39.94,3.526,39.732,0.047
212.84,39.94,3.547,39.752,0.0
214.13,39.94,3.569,39.771,0.0
215.41,40.0,3.59,39.793,0.047
216.69,40.0,3.612,39.811,0.0
217.98,40.06,3.633,39.832,0.047
219.26,40.0,3.654,39.851,-0.047
220.54,40.06,3.676,39.87,0.047
221.83,40.06,3.697,39.888,0.0
223.11,40.13,3.718,39.91,0.055
224.39,40.13,3.74,39.929,0.0
225.68,40.13,3.761,39.948,0.0
226.96,40.19,3.783,39.97,0.047
228.24,40.19,3.804,39.992,0.0
229.53,40.19,3.826,40.011,0.0
230.81,40.19,3.847,40.03,0.0
232.09,40.25,3.868,40.052,0.047
233.38,40.25,3.89,40.07,0.0
234.66,40.25,3.911,40.089,0.0
235.95,40.25,3.932,40.108,0.0
237.23,40.31,3.954,40.126,0.047
238.51,40.31,3.975,40.144,0.0
239.8,40.31,3.997,40.163,0.0
241.08,40.38,4.018,40.182,0.055
242.36,40.38,4.039,40.201,0.0
243.64,40.38,4.061,40.217,0.0
244.93,40.38,4.082,40.236,0.0
246.21,40.44,4.104,40.255,0.047
247.5,40.44,4.125,40.274,0.0
248.78,40.44,4.146,40.29,0.0
250.06,40.44,4.168,40.305,0.0
251.35,40.5,4.189,40.324,0.047
252.63,40.5,4.21,40.339,0.0
253.91,40.5,4.232,40.354,0.0
255.2,40.5,4.253,40.37,0.0
256.48,40.56,4.275,40.389,0.047
257.76,40.56,4.296,40.404,0.0
259.05,40.56,4.318,40.42,0.0
260.33,40.56,4.339,40.435,0.0
261.61,40.56,4.36,40.451,0.0
262.9,40.63,4.382,40.466,0.054
264.18,40.63,4.403,40.482,0.0
265.46,40.63,4.424,40.498,0.0
266.75,40.63,4.446,40.511,0.0
268.03,40.63,4.467,40.524,0.0
269.31,40.69,4.488,40.539,0.047
270.6,40.69,4.51,40.555,0.0
271.88,40.69,4.531,40.567,0.0
273.16,40.69,4.553,40.58,0.0
274.45,40.75,4.574,40.595,0.047
275.73,40.75,4.596,40.61,0.0
277.01,40.75,4.617,40.623,0.0
278.3,40.75,4.638,40.636,0.0
279.58,40.81,4.66,40.651,0.047
280.86,40.81,4.681,40.666,0.0
282.15,40.81,4.702,40.679,0.0
283.43,40.81,4.724,40.692,0.0
284.71,40.88,4.745,40.707,0.055
286.0,40.88,4.767,40.724,0.0
287.28,40.88,4.788,40.74,0.0
288.57,40.88,4.81,40.752,0.0
289.85,40.88,4.831,40.764,0.0
291.13,40.88,4.852,40.777,0.0
292.42,40.94,4.874,40.793,0.047
293.7,40.88,4.895,40.805,-0.047
294.98,40.94,4.916,40.818,0.047
296.27,40.94,4.938,40.83,0.0
297.55,40.94,4.959,40.842,0.0
298.83,41.0,4.98,40.858,0.047
300.12,41.0,5.002,40.87,0.0
301.4,41.0,5.023,40.883,0.0
302.68,41.0,5.045,40.896,0.0
303.97,41.06,5.066,40.911,0.047
305.25,41.0,5.088,40.921,-0.047
306.53,41.06,5.109,40.933,0.047
307.82,41.06,5.13,40.946,0.0
309.1,41.13,5.152,40.962,0.055
310.38,41.06,5.173,40.97,-0.055
311.67,41.13,5.195,40.983,0.054
312.95,41.13,5.216,40.996,0.0
314.23,41.13,5.237,41.008,0.0
315.52,41.13,5.259,41.021,0.0
316.8,41.13,5.28,41.033,0.0
318.08,41.13,5.301,41.043,0.0
319.37,41.13,5.323,41.055,0.0
320.65,41.13,5.344,41.064,0.0
321.93,41.13,5.366,41.074,0.0
323.22,41.19,5.387,41.086,0.047
324.5,41.19,5.408,41.096,0.0
325.78,41.19,5.43,41.106,0.0
327.07,41.19,5.451,41.115,0.0
328.35,41.19,5.472,41.124,0.0
329.63,41.19,5.494,41.131,0.0
330.92,41.19,5.515,41.14,0.0
332.2,41.19,5.537,41.147,0.0
333.49,41.25,5.558,41.156,0.047
334.77,41.25,5.579,41.162,0.0
336.05,41.25,5.601,41.172,0.0
337.34,41.25,5.622,41.178,0.0
338.62,41.25,5.644,41.184,0.0
339.9,41.25,5.665,41.19,0.0
341.19,41.25,5.686,41.196,0.0
342.47,41.25,5.708,41.202,0.0
343.75,41.25,5.729,41.208,0.0
345.04,41.25,5.751,41.214,0.0
346.32,41.25,5.772,41.22,0.0
347.6,41.25,5.793,41.226,0.0
348.89,41.25,5.815,41.229,0.0
350.17,41.31,5.836,41.235,0.047
351.45,41.31,5.858,41.241,0.0
352.74,41.31,5.879,41.247,0.0
354.02,41.31,5.9,41.253,0.0
355.3,41.31,5.922,41.259,0.0
