time_s,time_min,temp_c,rolling_avg,rate_of_change,cumulative_max,phase,percentile
810.92,13.515,42.5,42.503,0.0,42.69,Stable phase,70.5
812.2,13.537,42.5,42.503,0.0,42.69,Stable phase,70.5
813.5,13.558,42.5,42.503,0.0,42.69,Stable phase,70.5
814.77,13.58,42.5,42.503,0.0,42.69,Stable phase,70.5
816.05,13.601,42.5,42.5,0.0,42.69,Stable phase,70.5
817.34,13.622,42.5,42.5,0.0,42.69,Stable phase,70.5
818.62,13.644,42.5,42.5,0.0,42.69,Stable phase,70.5
819.9,13.665,42.5,42.5,0.0,42.69,Stable phase,70.5
821.19,13.686,42.5,42.5,0.0,42.69,Stable phase,70.5
822.47,13.708,42.5,42.5,0.0,42.69,Stable phase,70.5
823.75,13.729,42.5,42.5,0.0,42.69,Stable phase,70.5
825.04,13.751,42.5,42.5,0.0,42.69,Stable phase,70.5
826.32,13.772,42.44,42.497,-0.047,42.69,Stable phase,65.8
827.6,13.793,42.44,42.494,0.0,42.69,Stable phase,65.8
828.89,13.815,42.44,42.491,0.0,42.69,Stable phase,65.8
830.17,13.836,42.44,42.488,0.0,42.69,Stable phase,65.8
831.45,13.858,42.5,42.488,0.047,42.69,Stable phase,70.5
832.74,13.879,42.44,42.485,-0.047,42.69,Stable phase,65.8
834.02,13.9,42.5,42.485,0.047,42.69,Stable phase,70.5
835.3,13.922,42.5,42.485,0.0,42.69,Stable phase,70.5
836.59,13.943,42.5,42.485,0.0,42.69,Stable phase,70.5
837.87,13.964,42.5,42.485,0.0,42.69,Stable phase,70.5
839.15,13.986,42.5,42.485,0.0,42.69,Stable phase,70.5
840.44,14.007,42.44,42.482,-0.047,42.69,Stable phase,65.8
841.72,14.029,42.5,42.482,0.047,42.69,Stable phase,70.5
843.0,14.05,42.5,42.482,0.0,42.69,Stable phase,70.5
844.29,14.071,42.5,42.482,0.0,42.69,Stable phase,70.5
845.57,14.093,42.5,42.482,0.0,42.69,Stable phase,70.5
846.86,14.114,42.5,42.482,0.0,42.69,Stable phase,70.5
848.14,14.136,42.5,42.482,0.0,42.69,Stable phase,70.5
849.42,14.157,42.5,42.482,0.0,42.69,Stable phase,70.5
850.71,14.179,42.5,42.482,0.0,42.69,Stable phase,70.5
851.99,14.2,42.5,42.485,0.0,42.69,Stable phase,70.5
853.27,14.221,42.5,42.488,0.0,42.69,Stable phase,70.5
854.55,14.242,42.5,42.491,0.0,42.69,Stable phase,70.5
855.84,14.264,42.5,42.494,0.0,42.69,Stable phase,70.5
857.13,14.286,42.5,42.494,0.0,42.69,Stable phase,70.5
858.41,14.307,42.5,42.497,0.0,42.69,Stable phase,70.5
859.69,14.328,42.5,42.497,0.0,42.69,Stable phase,70.5
860.97,14.35,42.5,42.497,0.0,42.69,Stable phase,70.5
862.26,14.371,42.5,42.497,0.0,42.69,Stable phase,70.5
863.54,14.392,42.56,42.5,0.047,42.69,Stable phase,81.5
864.82,14.414,42.5,42.5,-0.047,42.69,Stable phase,70.5
866.11,14.435,42.56,42.506,0.047,42.69,Stable phase,81.5
867.39,14.456,42.56,42.509,0.0,42.69,Stable phase,81.5
868.67,14.478,42.56,42.512,0.0,42.69,Stable phase,81.5
869.96,14.499,42.56,42.515,0.0,42.69,Stable phase,81.5
871.24,14.521,42.56,42.518,0.0,42.69,Stable phase,81.5
872.52,14.542,42.56,42.521,0.0,42.69,Stable phase,81.5
873.81,14.564,42.56,42.524,0.0,42.69,Stable phase,81.5
875.09,14.585,42.56,42.527,0.0,42.69,Stable phase,81.5
876.37,14.606,42.56,42.53,0.0,42.69,Stable phase,81.5
877.66,14.628,42.56,42.533,0.0,42.69,Stable phase,81.5
878.94,14.649,42.63,42.54,0.055,42.69,Stable phase,87.6
880.22,14.67,42.56,42.543,-0.055,42.69,Stable phase,81.5
881.51,14.692,42.56,42.546,0.0,42.69,Stable phase,81.5
882.79,14.713,42.56,42.549,0.0,42.69,Stable phase,81.5
884.07,14.734,42.56,42.552,0.0,42.69,Stable phase,81.5
885.36,14.756,42.63,42.558,0.054,42.69,Stable phase,87.6
886.64,14.777,42.63,42.564,0.0,42.69,Stable phase,87.6
887.92,14.799,42.63,42.571,0.0,42.69,Stable phase,87.6
889.21,14.82,42.63,42.575,0.0,42.69,Stable phase,87.6
