Time [s],Temperature [°C]
511.88,42.25
513.16,42.19
514.45,42.25
515.73,42.25
517.01,42.25
518.3,42.25
519.58,42.25
520.86,42.25
522.15,42.25
523.43,42.25
524.71,42.25
526.0,42.25
527.28,42.25
528.57,42.25
529.85,42.25
531.13,42.25
532.42,42.25
533.7,42.25
534.98,42.25
536.27,42.25
537.55,42.25
538.83,42.31
540.12,42.31
541.4,42.25
542.68,42.31
543.97,42.31
545.25,42.31
546.53,42.25
547.82,42.31
549.1,42.31
550.38,42.31
551.67,42.31
552.95,42.31
554.23,42.31
555.52,42.31
556.8,42.31
558.08,42.31
559.37,42.38
560.65,42.31
561.94,42.31
563.22,42.31
564.5,42.38
565.79,42.38
567.07,42.38
568.35,42.38
569.64,42.38
570.92,42.38
572.2,42.38
573.49,42.38
574.77,42.38
576.05,42.44
577.34,42.38
578.62,42.38
579.9,42.44
581.19,42.38
582.47,42.38
583.75,42.38
585.04,42.38
586.32,42.38
587.6,42.44
588.89,42.44
590.17,42.44
591.45,42.44
592.74,42.44
594.02,42.44
595.3,42.44
596.59,42.44
597.87,42.44
599.15,42.44
600.44,42.44
601.72,42.44
603.0,42.44
604.29,42.44
605.57,42.44
606.85,42.44
608.14,42.44
609.42,42.44
610.7,42.44
611.99,42.44
613.27,42.5
614.55,42.44
615.84,42.44
617.12,42.44
618.4,42.5
619.69,42.44
620.97,42.44
622.26,42.5
623.54,42.5
624.82,42.5
626.11,42.5
627.39,42.5
628.67,42.5
629.96,42.5
631.24,42.5
632.52,42.5
633.81,42.5
635.09,42.5
636.37,42.5
637.66,42.5
638.94,42.5
640.22,42.5
641.51,42.5
642.79,42.5
644.07,42.5
645.36,42.56
646.64,42.56
647.92,42.56
649.21,42.56
650.49,42.56
651.77,42.56
653.06,42.56
654.34,42.56
655.63,42.56
656.91,42.56
658.19,42.63
659.48,42.56
660.76,42.56
662.04,42.56
663.33,42.63
664.61,42.56
665.89,42.63
667.18,42.63
668.46,42.63
669.74,42.63
671.03,42.63
672.31,42.63
673.59,42.63
674.88,42.63
676.16,42.63
677.44,42.63
678.73,42.63
680.01,42.63
681.29,42.63
682.58,42.63
683.86,42.63
685.14,42.63
686.43,42.63
687.71,42.63
688.99,42.63
690.28,42.63
691.56,42.63
692.84,42.63
694.13,42.63
695.41,42.63
696.69,42.63
697.98,42.63
699.26,42.63
700.54,42.63
701.83,42.63
703.11,42.63
704.39,42.63
705.68,42.63
706.96,42.63
708.24,42.63
709.53,42.63
710.81,42.63
712.09,42.63
713.38,42.63
714.66,42.63
715.94,42.63
717.23,42.63
718.51,42.63
719.8,42.63
721.08,42.63
722.36,42.63
723.65,42.63
724.93,42.63
726.21,42.63
727.5,42.63
728.78,42.63
730.06,42.69
731.35,42.63
732.63,42.63
733.91,42.63
735.2,42.63
736.48,42.63
737.76,42.63
